Description,,Summary Amt.
Beginning balance as of 01/01/2022,,"219.48"
Total credits,,"116657.85"
Total debits,,"-108534.02"
Ending balance as of 12/31/2022,,"8343.31"

Date,Description,Amount,Running Bal.
07/29/2022,"CA SECRETARY OF STATE W 07/26 PURCHASE 916-6951338 CA DEBIT CARD *4717","-25.00","18737.49"
08/01/2022,"AMZN MKTP US*KL6EU0XE3 07/29 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-75.37","18662.12"
08/01/2022,"PANDA EXPRESS #1439 07/29 PURCHASE NORTH HOLLYWO CA DEBIT CARD *2943","-32.21","18629.91"
08/01/2022,"PRESSED JUICERY, INC. 07/30 PURCHASE 310-883-2114 CA DEBIT CARD *2943","-10.00","18619.91"
08/01/2022,"Check 1120","-1220.00","17399.91"
08/05/2022,"AMZN MKTP US AMZN.COM/B 08/05 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","32.84","17432.75"
08/05/2022,"ANDRENE CARWASH 08/03 PURCHASE NORTH HOLLYWO CA DEBIT CARD *4717","-7.00","17425.75"
08/08/2022,"IN *AQUATECH WATER SYST 08/05 PURCHASE 866-7807500 CA DEBIT CARD *2943","-25.00","17400.75"
08/08/2022,"AMZN MKTP US*E59YU1V93 08/07 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-27.00","17373.75"
08/11/2022,"AMZN MKTP US*CM61S7A83 08/10 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-234.95","17138.80"
08/11/2022,"AMZN MKTP US*0I55U2Q53 08/10 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-94.65","17044.15"
08/12/2022,"AMZN MKTP US*ZW9094NH3 08/11 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-10.94","17033.21"
08/12/2022,"AMAZON.COM*CG45A3L33 AM 08/11 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-4.70","17028.51"
08/15/2022,"Check 1122","-2800.00","14228.51"
08/18/2022,"AMZN MKTP US*Y07XC4CW3 08/17 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-35.02","14193.49"
08/19/2022,"CA SECRETARY OF STATE W 08/16 PURCHASE 916-6951338 CA DEBIT CARD *4717","-25.00","14168.49"
08/19/2022,"AMZN MKTP US*2P6MS0ZV3 08/17 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-420.70","13747.79"
08/22/2022,"AMZN MKTP US*SV29Z2BC3 08/18 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-14.18","13733.61"
08/26/2022,"GUSTO DES:FEE 988063 ID:6semjsdr84m INDN:Double Play Bakery and CO ID:2453942850 CCD","-99.00","13634.61"
08/29/2022,"THE HOME DEPOT 08/27 REFUND BURBANK CA DEBIT CARD *2943","13.66","13648.27"
08/29/2022,"THE HOME DEPOT 08/27 PURCHASE BURBANK CA DEBIT CARD *2943","-68.22","13580.05"
08/29/2022,"RAFFI`S MARKET & GROCE 08/27 PURCHASE BURBANK CA DEBIT CARD *2943","-55.00","13525.05"
08/29/2022,"MASIS BAKERY BURBANK 08/27 PURCHASE BURBANK CA DEBIT CARD *2943","-33.11","13491.94"
08/30/2022,"HARRAHS RINCON 08/29 PURCHASE HTTPSWWW.HARR NV DEBIT CARD *4717","-114.50","13377.44"
08/31/2022,"PRESSED JUICERY, INC. 08/30 PURCHASE 310-883-2114 CA DEBIT CARD *2943","-10.00","13367.44"
09/01/2022,"RAFFI`S MARKET & GROCE 08/30 PURCHASE BURBANK CA DEBIT CARD *4717","-22.57","13344.87"
09/01/2022,"RAFFI`S MARKET & GROCE 08/30 PURCHASE BURBANK CA DEBIT CARD *4717","-16.24","13328.63"
09/06/2022,"AMZN MKTP US AMZN.COM/B 09/05 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","167.52","13496.15"
09/06/2022,"AMZN MKTP US AMZN.COM/B 09/05 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","35.02","13531.17"
09/06/2022,"AMZN MKTP US*1F63Y0CM1 09/03 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-91.66","13439.51"
09/06/2022,"IN *AQUATECH WATER SYST 09/05 PURCHASE 866-7807500 CA DEBIT CARD *2943","-25.00","13414.51"
09/08/2022,"POTATO CORNERAMERICANA 09/06 PURCHASE GLENDALE CA DEBIT CARD *2943","-29.50","13385.01"
09/09/2022,"GUSTO DES:NET 590227 ID:6semjsgvf4p INDN:Double Play Bakery and CO ID:1453942850 CCD","-2406.86","10978.15"
09/09/2022,"GUSTO DES:TAX 590229 ID:6semjsgvf5g INDN:Double Play Bakery and CO ID:1453942850 CCD","-1300.69","9677.46"
09/12/2022,"MOUSALER MARKET 09/10 PURCHASE N HOLLYWOOD CA DEBIT CARD *2943","-42.75","9634.71"
09/14/2022,"GUSTO DES:NET 680842 ID:6semjshfjcn INDN:Double Play Bakery and CO ID:1453942850 CCD","-2573.53","7061.18"
09/14/2022,"GUSTO DES:TAX 680862 ID:6semjshfjda INDN:Double Play Bakery and CO ID:1453942850 CCD","-1134.02","5927.16"
09/15/2022,"AMZN MKTP US AMZN.COM/B 09/14 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","91.66","6018.82"
09/16/2022,"HOMEDEPOT.COM 09/14 PURCHASE 800-430-3376 GA DEBIT CARD *2943","-175.18","5843.64"
09/16/2022,"HOMEDEPOT.COM 09/14 PURCHASE 800-430-3376 GA DEBIT CARD *2943","-136.66","5706.98"
09/19/2022,"AMZN MKTP US AMZN.COM/B 09/18 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","50.36","5757.34"
09/19/2022,"HOMEDEPOT.COM 09/14 PURCHASE 800-430-3376 GA DEBIT CARD *2943","-30.42","5726.92"
09/19/2022,"GUSTO DES:NET 100784 ID:6semjsimuju INDN:Double Play Bakery and CO ID:1453942850 CCD","-2573.53","3153.39"
09/19/2022,"GUSTO DES:TAX 100788 ID:6semjsimukl INDN:Double Play Bakery and CO ID:1453942850 CCD","-997.72","2155.67"
09/28/2022,"THE HOME DEPOT #6654 09/27 PURCHASE BURBANK CA DEBIT CARD *2943","-120.81","2034.86"
09/28/2022,"AMZN MKTP US*1U87E8BW2 09/27 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-29.99","2004.87"
09/29/2022,"HOMEDEPOT.COM 09/27 PURCHASE 800-430-3376 GA DEBIT CARD *2943","-56.91","1947.96"
10/03/2022,"PRESSED JUICERY, INC. 09/30 PURCHASE 310-883-2114 CA DEBIT CARD *2943","-10.00","1937.96"
10/04/2022,"GUSTO DES:FEE 517046 ID:6semjsllrji INDN:Double Play Bakery and CO ID:2453942850 CCD","-99.00","1838.96"
10/06/2022,"IN *AQUATECH WATER SYST 10/05 PURCHASE 866-7807500 CA DEBIT CARD *2943","-25.00","1813.96"
10/17/2022,"BKOFAMERICA ATM 10/17 #000008541 DEPOSIT NORTH HOLLYWOOD NORTH HOLLYWO CA CKCD 4815880028634717","500.00","2313.96"
10/18/2022,"BKOFAMERICA ATM 10/18 #000006233 DEPOSIT MAGNOLIA PARK BURBANK CA CKCD 4815890000722943","3600.00","5913.96"
10/18/2022,"IRS DES:USATAXPYMT ID:200269171016099 INDN:DOUBLE PLAY BAKERY & P CO ID:3387702000 CCD","-490.00","5423.96"
10/26/2022,"GUSTO DES:NET 967306 ID:6semjsqe377 INDN:Double Play Bakery and CO ID:1453942850 CCD","-2573.53","2850.43"
10/26/2022,"GUSTO DES:TAX 967308 ID:6semjsqe37i INDN:Double Play Bakery and CO ID:1453942850 CCD","-978.92","1871.51"
10/28/2022,"THE HOME DEPOT #6654 10/26 PURCHASE BURBANK CA DEBIT CARD *2943","-137.75","1733.76"
10/31/2022,"BKOFAMERICA ATM 10/31 #000004055 DEPOSIT NORTH HOLLYWOOD N HOLLYWOOD CA CKCD 4815890000722943","550.00","2283.76"
10/31/2022,"AMZN MKTP US*H081G6Q11 10/29 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-28.49","2255.27"
10/31/2022,"PRESSED JUICERY, INC. 10/30 PURCHASE 310-883-2114 CA DEBIT CARD *2943","-10.00","2245.27"
10/31/2022,"CA DEPT TAX FEE DES:CDTFA EPMT ID:12708271 INDN:DOUBLE PLAY BAKERY & P CO ID:2822162215 CCD","-1678.06","567.21"
11/01/2022,"Monthly Fee Business Adv Fundamentals","-16.00","551.21"
11/02/2022,"BKOFAMERICA ATM 11/02 #000001348 DEPOSIT SHERMAN OAKS SHERMAN OAKS CA CKCD 4815890000722943","3800.00","4351.21"
11/02/2022,"GUSTO DES:FEE 125380 ID:6semjss3r8j INDN:Double Play Bakery and CO ID:2453942850 CCD","-99.00","4252.21"
11/07/2022,"IN *AQUATECH WATER SYST 11/05 PURCHASE 866-7807500 CA DEBIT CARD *2943","-25.00","4227.21"
11/10/2022,"GUSTO DES:NET 282078 ID:6semjsu4s20 INDN:Double Play Bakery and CO ID:1453942850 CCD","-2573.53","1653.68"
11/10/2022,"GUSTO DES:TAX 282080 ID:6semjsu4s30 INDN:Double Play Bakery and CO ID:1453942850 CCD","-978.92","674.76"
11/18/2022,"AMAZON.COM*HI23Y4560 AM 11/16 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-51.47","623.29"
11/21/2022,"BLACK JACK MARKET 11/17 PURCHASE N HOLLYWOOD CA DEBIT CARD *2943","-35.39","587.90"
11/22/2022,"RALPHS #0 1090 11/22 PURCHASE NORTH HOLLYWO CA DEBIT CARD *2943","-33.76","554.14"
11/30/2022,"AMZN MKTP US*NG3SE4XZ3 11/28 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-10.17","543.97"
12/01/2022,"DNH*GODADDY.COM 11/30 PURCHASE 480-5058855 AZ DEBIT CARD *4717","-60.32","483.65"
12/01/2022,"PRESSED JUICERY, INC. 11/30 PURCHASE 310-883-2114 CA DEBIT CARD *2943","-10.00","473.65"
12/01/2022,"Monthly Fee Business Adv Fundamentals","-16.00","457.65"
12/02/2022,"AMZN MKTP US*8Z9084G23 12/01 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-21.40","436.25"
12/02/2022,"GUSTO DES:FEE 715004 ID:6semjt2mf48 INDN:Double Play Bakery and CO ID:2453942850 CCD","-99.00","337.25"
12/05/2022,"BKOFAMERICA ATM 12/03 #000005743 DEPOSIT NORTH HOLLYWOOD N HOLLYWOOD CA CKCD 4815890000722943","8000.00","8337.25"
12/05/2022,"THE HOME DEPOT 12/05 PURCHASE BURBANK CA DEBIT CARD *2943","-14.89","8322.36"
12/06/2022,"IN *AQUATECH WATER SYST 12/05 PURCHASE 866-7807500 CA DEBIT CARD *2943","-25.00","8297.36"
12/07/2022,"GUSTO DES:NET 776519 ID:6semjt3k4gr INDN:Double Play Bakery and CO ID:1453942850 CCD","-2573.53","5723.83"
12/07/2022,"GUSTO DES:TAX 776521 ID:6semjt3k4h5 INDN:Double Play Bakery and CO ID:1453942850 CCD","-978.92","4744.91"
12/15/2022,"FRANCHISE TAX BO DES:PAYMENTS ID:94448019 PM INDN:DOUBLE P CO ID:1282532045 CCD","-800.00","3944.91"
12/19/2022,"COSTCO WHSE #0 12/17 PURCHASE BURBANK CA DEBIT CARD *2943","-43.88","3901.03"
12/19/2022,"COSTCO WHSE #0 12/17 PURCHASE BURBANK CA DEBIT CARD *2943","-33.03","3868.00"
12/19/2022,"THE HOME DEPOT 12/19 PURCHASE BURBANK CA DEBIT CARD *2943","-23.71","3844.29"
12/27/2022,"AMAZON.COM AMZN.COM/BIL 12/23 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","51.47","3895.76"
12/28/2022,"GUSTO DES:NET 146440 ID:6semjt7ig5q INDN:Double Play Bakery and CO ID:1453942850 CCD","-2573.53","1322.23"
12/28/2022,"GUSTO DES:TAX 146444 ID:6semjt7ig5s INDN:Double Play Bakery and CO ID:1453942850 CCD","-978.92","343.31"
12/29/2022,"BKOFAMERICA ATM 12/29 #000002769 DEPOSIT NORTH HOLLYWOOD NORTH HOLLYWO CA CKCD 4815890000722943","8000.00","8343.31"
